main_category,parent_asin,user_id,rating,title,text,timestamp,helpful_vote,verified_purchase
AMAZON FASHION,B07C1JV4D6,AHFNZX5F56JGJB3YNWA57ZN4APXA,1,Decrease in quality,I previously purchased this band and wire it for about 6 months straight before the color started wearing off. This one I will for only 2 weeks before the Rose gold started flaking off to the silver colored base. Very disappointed this time.,1580012908597,0,True
AMAZON FASHION,B07Y1WXKK7,AGKJS7CWFAIMUF3XSZBD2PLYWPJA,1,Sizing is poor,For slim nine year old the small was way too small and large was way too large. Why Only make size abnormal sizes,1628407422155,0,True
AMAZON FASHION,B0B5LM3BM4,AHPWHEPY6LTUH3GAB6B2CXAEJ5GQ,1,Band not as pictured,The band I recieved is NOT what was pictured. I got a band that is very narrow at the end instead of flared out.,1607109744225,0,True
AMAZON FASHION,B07RM3SH7T,AGCXKLCXMUBUGFDY4EIE6FISFLWQ,1,Didn't come in color that was shown,Didn't come in color that was shown,1646075961857,0,True
AMAZON FASHION,B093RXLDX3,AEMPA7MRAT4S6MZHV4W3GTBZVKRQ,1,Don’t buy,They do not work! You can not get the one side of the band into the strap holders after you buckle the watch! The one end of the band is too wide to fit. I returned theses. Not not buy!,1675717611577,0,True
AMAZON FASHION,B077SFTGYW,AG6INTYDWNARVXOWVOOXNSPLZODA,1,Does not fit 5x plus,Does not fit my fenix 5s plus. Way too big.ughh,1567265437717,0,True
AMAZON FASHION,B0B52Y3P49,AHT52WEYXRYJ5X3OLZQ422OOLHKQ,1,Does not connect to the Sense Face,"This package included two wristbands: the first worked great, but the second would not connect to the watchface.  I guess the buy one get one ""free"" allows the manufacturer to eliminate faulty hardware.",1659982703310,0,True
AMAZON FASHION,B07PSK9PX5,AHIOGRM7NGJZCTJHKV4S2Y2EX2KQ,1,Buyer beware! So disappointed...,"Not what I thought it would be. The quality seems cheap next to a regular fossil watch. I always buy a fossil, but I'm returning this.<br /><br />Can't really do much except change the face (that is cool). Can't add Facebook and Pandora doesn't work. Also, the thing dies within 2hrs and I charged it to 100 before even touching it. I thought you could use it as a Bluetooth... No, you can answer a call but have to use the phone.<br /><br />Thought I'd leave a real review from someone that actually paid for it, so people would know.<br /><br />*update*<br />Ok, so I decided maybe I was too quick to judge. Thought I'd keep it a week and see how it was. Well, this is day number three, and the longest I've been able to keep it on is 7 hrs. I would give this negative stars if i could!<br /><br /> It freezes up and will get HOT on your arm! Today it took me an hr to even be able to check the time. All I could get was the Google screen and a black screen. Tried to restart it from the phone and it wouldn't connect to even restart it. These things are trash! I bought two (one for my husband) they both have issue and are going back! Who wants to wear a dead watch half the day? I sure don't want to have to charge it all the time.<br /><br />Update... Second picture is my husband's watch. He took it off to charge it and the whole back came off! He likes it so he is keeping it. Thankfully I was able to just request an exchange from Amazon since it's only a month old",1543449486492,12,True
AMAZON FASHION,B07HD1RMZ4,AGEV5KB3CP5XJMRR6E4MKYIIPZZQ,1,Doesn’t look cute,I didn’t like the look..,1553648665254,0,True
AMAZON FASHION,B09F5TVT11,AFDUYY7CEFUHGOQTWBVAX2QJA7JQ,1,This product is NOT compatible with Fitbit HR,"beautiful band, but is NOT compatible with my Fitbit.  Disappointing.",1646695798094,0,False
AMAZON FASHION,B074CRSG4Q,AEP5BNBNRDZ4RKQLHTDQP2CJVIWA,1,Looks like it was glued together at the flower and broke ...,Broke before I wore it out of my home.  Looks like it was glued together at the flower and broke there.  Very pretty and I am disappointed I wn't be able to use it.,1509483351241,0,True
AMAZON FASHION,B07MF56NHQ,AFJO25LAL7SCFT5LE6AJD2MND23A,1,The locking doesn't work on one of them,"My white band doesn't fit, it keeps coming out, I'm disappointed and returning this product is not worth the time. I would prefer to be shipped a replacement without going to the Hussle of sending all three bands back, cause I actually like them ... If you look at the attached picture the spacing is off, so the locking mechanism doesn't work and your watch fall off.",1563221591660,3,True
AMAZON FASHION,B07G4DQ4LD,AGGOSTU7HV6UVBWUDUKIEOGHK5WQ,1,Won’t stay clasp ever,Literally unclamps every time I move,1579217379503,0,True
AMAZON FASHION,B0751WM41X,AE63D2S44ZJL7XH33TTCJFNZOVJA,1,Was quite disappointed to open the bag today and see it’s torn,Didn’t open this in time to return it as it was a gift. Was quite disappointed to open the bag today and see it’s torn. Garbage quality and a total waste of money that I’m stuck with now.,1532371837824,3,True
AMAZON FASHION,B07RFQPLC7,AE4OEHHUE6LMZXLVQ6JCFTBYO56A,1,"Poorly designed, hard to assemble, pins too large to use","The pins did not fit, too big!!! I had to use pins from original band. Then, could not hardly get Inspire into head piece. Then could not hardly get headpiece and pins to lock. Then could not tighten band by myself. Poorly designed watch band as far as putting it together and poor ease of using. I think I'm sending it back, and my loss as it is cute. But bad manufacturing.",1592844226714,2,True
AMAZON FASHION,B00C5A4WLQ,AF6HXFQXLQZKULJ4O5ZLIAOBJ6NQ,1,Bad clasp,"I bought this bag in Oct. And use this bag for daily use. Looks cool. However,  clasp is broken with no reason.<br />Stay away from this bag.",1384617569000,0,True
AMAZON FASHION,B0BSLWM9Y3,AESKJF4HEI4B672S7EEPSTS2MTXA,1,Only one part of the band fit properly.  Other portion leaves unacceptable gap.,"The part of the band that attaches to the bottom of the device fit perfectly.  The one that fits to the top was very disappointing - it left a large gap.  I've replaced bands on this Surge several times (don't recall vendors) with no problems whatsoever, but this time the end result is not good.  Yes, it holds on, but other than that, it is problematic. I do not recommend this kit at all.",1605550864136,0,True
AMAZON FASHION,B09MBW7C66,AHVGYQNW42VZI33HBMJU3XJBHQZQ,1,Doesn’t fit watch. What happened falls off.,After 2 wear. This does not secure my Fitbit. It regularly lets go. I do not want to lose my watch for a $10 band.,1649970250323,0,True
AMAZON FASHION,B07F71JYMW,AET3KBX6LF5YNYYSJSKB63B4LVIQ,1,Flimsy band. Short life expectancy.,Flimsy item.<br /><br />The band broke after only 1 month and a half of use. Almost lost the watch inside a cab thank goodness I checked my seat before hopping off the car.,1565803625416,0,True
AMAZON FASHION,B0B233YRB1,AHQMPHH7BV6ZPSAOYJABNBPZ2LIQ,1,Buyer beware,"I bought this watch when it was being sold as a different design (same company and item number, different design no longer being sold) and it didn’t work out of the box. The screen flashes a “battery low” warning, despite being plugged in for more than 24 hours. I followed the directions verbatim. I followed the troubleshooting verbatim. Still doesn’t work and returns aren’t allowed. This was a birthday gift for my son, and we were both really disappointed that we were sold a piece of junk that can’t even be returned.",1639320045741,3,False
AMAZON FASHION,B09BD76R5H,AFMXRCGG66SFJKQAHILCIALRUEPQ,1,Doesn't fit Inspire 2 well,"Not only is it very hard to attach to Inspire 2, once it's on it is not a smooth transition from your Fitbit to the band - leather sticks out. I returned these.",1652189387110,1,True
AMAZON FASHION,B076LYHBHV,AHBTE2WAW3TVIGLWINZWHA6HHILQ,1,Doesn't Fit,"So, this is what I get for waiting so long to use something. I finally decided to pull out my nice stainless steel ionic band that I got like 5 mos ago and put it on my ionic. I did all the work taking the links out (using additional tools provided by Oitom. Amazing brand by the way! They emailed me and provided me with step by step instructions on how to take links out) I went to snap it on to my ionic...no go. Now, I know you have to push a little harder to get the clips to snap, but I thought I was going to break my watch. So, now I have this band that was a waste of money, and I have to figure out another use for it because it is too late to return.",1524275611874,1,True
AMAZON FASHION,B000XMK4WO,AFSMBV3KKDKZPTUBBEPZNU6LHEJA,1,Not as good as my 4 year old Metro,"I have an older Metro, about 4 years old. I purchased this one to replace it. They were not the same. I found the the new bag lower quality. The material was not as good, the logo went from metal to rubber, and zipper pulls from heavy rubber to cloth.",1382184299000,1,False
AMAZON FASHION,B07MFSDQH1,AHXU5TAJUQTNOHIMIRUEJLBSVMLA,1,Zipper failure,My son has used this backpack approximately 3 times a month since late August and one of the zippers is shot. I would not buy again.,1542694544601,0,True
AMAZON FASHION,B0893WJ87X,AH23MKD3GG2KZPMACEGGNXPUKWPQ,1,Do not buy!,Product was nice and very easy to adjust for a very small wrist.<br /><br />Now the bad. It is silver planted and within 3-4 months the silver wore off. See picture attached.<br /><br />I cannot recommend any silver playing item for everyday use.,1659019357314,0,True
AMAZON FASHION,B07519D7BT,AF2MRP73ZDYE2Y2WGRTKANWHQ6UQ,1,Does not fit Garmin x40 Watch as advertised,This is described to fit the Garmin x40 watch.  I ordered it and it clearly does not.  Again Do Not order this for a replacement band for Garmin x40.,1576354277851,0,True
AMAZON FASHION,B08FZL1XSS,AFCZT564E2DDHVL3Z7FOBOVT7AEA,1,Didn't work,I tried it in 3 different computers. Got an error in all 3 saying drivers failed to load. Maybe it was just the one I got. Amazon gave me a full refund though.,1615291985676,0,True
AMAZON FASHION,B08HS58JVX,AEGBPC626AR7Q7RHJ47UYALDZLSQ,1,Garbage,It fell apart after 2 days.,1621968218699,0,True
AMAZON FASHION,B09K7HJFYS,AGUN3GYLS5LQJDZ6N2AVIJDQLHWA,1,Did not fit fitbit versa watch,Did not fit as stated it should,1658351503053,0,True
AMAZON FASHION,B09BD76R5H,AFOO6HOELQRNYTA5OZHJBXQIVQ4Q,1,Doesn’t fit inspire 3,These bands are too small for the Inspire 3. I returned them.,1678026305468,0,False
AMAZON FASHION,B08MJKS7FN,AF2ACOLMUX3VWJQXLDML2A7SF5SQ,1,This is not compatible with fitbit sense,Does not work with fitbit sense.  Hopefully by the time this is posted the company will correct the advertisement.,1641595241908,0,True
AMAZON FASHION,B076J89QKZ,AGMTDLUU2QZLOGKIKBX6GIDIF4HQ,1,Only works intermittently,We ordered two of these...one works and the other one only works once in a while...very disappointed.,1571234477244,0,True
AMAZON FASHION,B01MQJWP8O,AH2VQ2L7BE7X4EOPNXDCRDRL7PPA,1,Very Fragile,"The rubber came off of the mounting piece very easily, plus it's really long.",1496959252000,0,True
AMAZON FASHION,B091HFDMSD,AG2DR6JXRCDHUNOI7VI3TCOOVP7A,1,Not for fitbit,This band does not fit Versa watches. I dont see where I can return them.  I would like a refund.,1649522638301,0,True
AMAZON FASHION,B07BT3BX8W,AECI4XXZC345BNWRDPZU5WVAAG3A,1,Not durable,"Purchased on 2/10/21, broke within 2 months.  Not durable!",1619198221748,0,True
AMAZON FASHION,B07FXB8ZZ1,AGWO5CQJFHQ6W35AQBYWG6EEYGYA,1,The strap broke within a week of use., ,1629430527444,0,True
AMAZON FASHION,B0755GW72V,AHIPYQN6R3O2IINOIO3K2FPGS4QA,1,Hoping for a Replacement Pair...,After several months of use the plastic on my black pair started disintegrating. Has this happened to anyone else?,1534093664155,1,True
AMAZON FASHION,B07BFBMV9X,AFADBGP64LMCTRF2EV265VZ66UJA,1,One Star,Shorter than advertised and useless to me.,1528061102191,0,True
AMAZON FASHION,B07SKWSLR7,AHN6ONOOMEIFKKC6F3AJTI5ZUAJA,1,Not very well made,I bought this produce August 30th and have been wearing it with my Fitbit. I notice the leather was starting to pull away from the plastic piece connecting to the device. The glue holding it together just gave out!,1575691135148,0,True
AMAZON FASHION,B0716YMFVS,AHXKJVSYUB7Z4CWU5TELHNV7HFXQ,1,Product Arrived Damaged! Their Website Doesn't Exist. Their Email doesn't work.,"One of the bands arrived damaged, yet I had no luck trying to reach them to get a replacement for the band. They give a 3 month warranty, which is great if you could actually reach them, which you can't. ""GinCoband""??? Why am I not surprised. I should have known better. STAY AWAY FROM THEM! Unless you want to hope that the product arrives undamaged.",1660569151397,0,True
AMAZON FASHION,B09WV9NJB9,AF5VYT5JPTG3XFYHQ7C42U2D2OFA,1,Watch band arrived with a chip.,"For what the band cost, it shouldn’t be chipped.  Website’s upload link would not upload the pictures.",1682607206832,0,True
AMAZON FASHION,B07TDVTXMS,AFSYCRCFBD53UO5LS2C275IVUBYA,1,Don’t waste your time,I won’t lie to you all - this is a pretty terrible watch. The watch itself from Michael Kors is absolutely gorgeous. The software… Atrocious. It doesn’t work well with Google Wear OS,1620330293268,0,True
