Model,Vektörizasyon,Val Accuracy,Val F1,Val ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Eğitim Süresi (sn)
Logistic Regression,TF-IDF (04A),0.9154,0.9176,0.973,0.9161,0.9195,0.9168,0.9182,0.9728,11.5
Linear SVM,TF-IDF (04A),0.9131,0.9153,0.9716,0.9121,0.9155,0.913,0.9143,0.9709,15.7
LightGBM,TF-IDF (04A),0.905,0.9076,0.9683,0.9065,0.9065,0.912,0.9092,0.9681,212.45
Multinomial Naive Bayes,TF-IDF (04A),0.9013,0.9043,0.9643,0.8994,0.8979,0.9073,0.9026,0.9637,0.09
XGBoost,TF-IDF (04A),0.8748,0.8762,0.95,0.8758,0.8918,0.8627,0.877,0.9495,327.43
LightGBM,BERT (05A),0.8759,0.8788,0.9487,0.8725,0.8777,0.8733,0.8755,0.9476,149.11
XGBoost,BERT (05A),0.8711,0.8742,0.946,0.8711,0.876,0.8725,0.8742,0.9457,126.12
Linear SVM,BERT (05A),0.8631,0.8669,0.9377,0.8601,0.8625,0.8655,0.864,0.9365,99.88
Logistic Regression,BERT (05A),0.8611,0.865,0.937,0.8596,0.8619,0.865,0.8635,0.9357,15.69
XGBoost,TF-IDF (04A),0.5815,0.3829,0.6601,0.5821,0.7832,0.2573,0.3873,0.6592,4.61
